id,name,a_min,a_max,b_min,b_max,c_min
__export__.fal_stroke_max_VPC-080-DM-M4L,VPC-080-DM-M4L,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VPC-080-DM-M4T,VPC-080-DM-M4T,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VPC-080-DM-M5L,VPC-080-DM-M5L,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VPC-080-DM-M5T,VPC-080-DM-M5T,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VCR-032-DM-XXX,VCR-032-DM-XXX,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VCR-040-DM-XXX,VCR-040-DM-XXX,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VCR-050-DM-XXX,VCR-050-DM-XXX,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VCR-063-DM-XXX,VCR-063-DM-XXX,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VCR-080-DM-XXX,VCR-080-DM-XXX,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VBG-032-DM-XXX,VBG-032-DM-XXX,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VBG-040-DM-XXX,VBG-040-DM-XXX,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VBG-050-DM-XXX,VBG-050-DM-XXX,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VBG-063-DM-XXX,VBG-063-DM-XXX,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VBG-080-DM-XXX,VBG-080-DM-XXX,0,49,50,NO SUP,NO
__export__.fal_stroke_max_VCN-025-IR-XXX,VCN-025-IR-XXX,NO,,5,125,NO
__export__.fal_stroke_max_VCN-025-L1-XXX,VCN-025-L1-XXX,NO,,5,125,NO
__export__.fal_stroke_max_VCN-025-L2-XXX,VCN-025-L2-XXX,NO,,50,125,NO
__export__.fal_stroke_max_VCN-025-L3-XXX,VCN-025-L3-XXX,NO,,30,125,NO
__export__.fal_stroke_max_VCN-025-L4-XXX,VCN-025-L4-XXX,NO,,30,125,NO
__export__.fal_stroke_max_VCN-032-DM-XXX,VCN-032-DM-XXX,0,49,50,140,NO
__export__.fal_stroke_max_VCN-032-IR-XXX,VCN-032-IR-XXX,NO,,5,140,NO
__export__.fal_stroke_max_VCN-032-L1-XXX,VCN-032-L1-XXX,NO,,5,140,NO
__export__.fal_stroke_max_VCN-032-L2-XXX,VCN-032-L2-XXX,NO,,50,140,NO
__export__.fal_stroke_max_VCN-032-L3-XXX,VCN-032-L3-XXX,NO,,30,140,NO
__export__.fal_stroke_max_VCN-032-L4-XXX,VCN-032-L4-XXX,NO,,30,140,NO
__export__.fal_stroke_max_VCN-040-DM-XXX,VCN-040-DM-XXX,0,49,50,140,NO
__export__.fal_stroke_max_VCN-040-IR-XXX,VCN-040-IR-XXX,NO,,10,140,NO
__export__.fal_stroke_max_VCN-040-L1-XXX,VCN-040-L1-XXX,NO,,10,140,NO
__export__.fal_stroke_max_VCN-040-L2-XXX,VCN-040-L2-XXX,NO,,50,140,NO
__export__.fal_stroke_max_VCN-040-L3-XXX,VCN-040-L3-XXX,NO,,30,140,NO
__export__.fal_stroke_max_VCN-040-L4-XXX,VCN-040-L4-XXX,NO,,30,140,NO
__export__.fal_stroke_max_VCN-050-DM-XXX,VCN-050-DM-XXX,0,49,50,150,NO
__export__.fal_stroke_max_VCN-050-IR-XXX,VCN-050-IR-XXX,NO,,10,150,NO
__export__.fal_stroke_max_VCN-050-L1-XXX,VCN-050-L1-XXX,NO,,10,150,NO
__export__.fal_stroke_max_VCN-050-L2-XXX,VCN-050-L2-XXX,NO,,50,150,NO
__export__.fal_stroke_max_VCN-050-L3-XXX,VCN-050-L3-XXX,NO,,30,150,NO
__export__.fal_stroke_max_VCN-050-L4-XXX,VCN-050-L4-XXX,NO,,30,150,NO
__export__.fal_stroke_max_VCN-063-DM-XXX,VCN-063-DM-XXX,0,49,50,190,NO
__export__.fal_stroke_max_VCN-063-IR-XXX,VCN-063-IR-XXX,NO,,10,190,NO
__export__.fal_stroke_max_VCN-063-L1-XXX,VCN-063-L1-XXX,NO,,10,190,NO
__export__.fal_stroke_max_VCN-063-L2-XXX,VCN-063-L2-XXX,NO,,70,190,NO
__export__.fal_stroke_max_VCN-063-L3-XXX,VCN-063-L3-XXX,NO,,50,190,NO
__export__.fal_stroke_max_VCN-063-L4-XXX,VCN-063-L4-XXX,NO,,50,190,NO
__export__.fal_stroke_max_VCN-080-DM-XXX,VCN-080-DM-XXX,0,49,50,180,NO
__export__.fal_stroke_max_VCN-080-IR-XXX,VCN-080-IR-XXX,NO,,10,180,NO
__export__.fal_stroke_max_VCN-080-L1-XXX,VCN-080-L1-XXX,NO,,10,180,NO
__export__.fal_stroke_max_VCN-080-L2-XXX,VCN-080-L2-XXX,NO,,70,180,NO
__export__.fal_stroke_max_VCN-080-L3-XXX,VCN-080-L3-XXX,NO,,50,180,NO
__export__.fal_stroke_max_VCN-080-L4-XXX,VCN-080-L4-XXX,NO,,50,180,NO
__export__.fal_stroke_max_VCN-100-IR-XXX,VCN-100-IR-XXX,NO,,10,160,NO
__export__.fal_stroke_max_VCN-100-L1-XXX,VCN-100-L1-XXX,NO,,10,160,NO
__export__.fal_stroke_max_VCN-100-L2-XXX,VCN-100-L2-XXX,NO,,70,160,NO
__export__.fal_stroke_max_VCN-100-L3-XXX,VCN-100-L3-XXX,NO,,50,160,NO
__export__.fal_stroke_max_VCN-100-L4-XXX,VCN-100-L4-XXX,NO,,50,160,NO
__export__.fal_stroke_max_VCN-125-IR-XXX,VCN-125-IR-XXX,NO,,10,160,NO
__export__.fal_stroke_max_VCN-125-L1-XXX,VCN-125-L1-XXX,NO,,10,160,NO
__export__.fal_stroke_max_VCN-125-L2-XXX,VCN-125-L2-XXX,NO,,70,160,NO
__export__.fal_stroke_max_VCN-125-L3-XXX,VCN-125-L3-XXX,NO,,50,160,NO
__export__.fal_stroke_max_VCN-125-L4-XXX,VCN-125-L4-XXX,NO,,50,160,NO
__export__.fal_stroke_max_VXP-025-IR-M4L,VXP-025-IR-M4L,NO,,5,125,NO
__export__.fal_stroke_max_VXP-025-IR-M4T,VXP-025-IR-M4T,NO,,5,125,NO
__export__.fal_stroke_max_VXP-025-IR-M5L,VXP-025-IR-M5L,NO,,5,125,NO
__export__.fal_stroke_max_VXP-025-IR-M5T,VXP-025-IR-M5T,NO,,5,125,NO
__export__.fal_stroke_max_VXP-025-L1-M4L,VXP-025-L1-M4L,NO,,5,125,NO
__export__.fal_stroke_max_VXP-025-L1-M4T,VXP-025-L1-M4T,NO,,5,125,NO
__export__.fal_stroke_max_VXP-025-L1-M5L,VXP-025-L1-M5L,NO,,5,125,NO
__export__.fal_stroke_max_VXP-025-L1-M5T,VXP-025-L1-M5T,NO,,5,125,NO
__export__.fal_stroke_max_VXP-025-L2-M4L,VXP-025-L2-M4L,NO,,50,125,NO
__export__.fal_stroke_max_VXP-025-L2-M4T,VXP-025-L2-M4T,NO,,50,125,NO
__export__.fal_stroke_max_VXP-025-L2-M5L,VXP-025-L2-M5L,NO,,50,125,NO
__export__.fal_stroke_max_VXP-025-L2-M5T,VXP-025-L2-M5T,NO,,50,125,NO
__export__.fal_stroke_max_VXP-025-L3-M4L,VXP-025-L3-M4L,NO,,30,125,NO
__export__.fal_stroke_max_VXP-025-L3-M4T,VXP-025-L3-M4T,NO,,30,125,NO
__export__.fal_stroke_max_VXP-025-L3-M5L,VXP-025-L3-M5L,NO,,30,125,NO
__export__.fal_stroke_max_VXP-025-L3-M5T,VXP-025-L3-M5T,NO,,30,125,NO
__export__.fal_stroke_max_VXP-025-L4-M4L,VXP-025-L4-M4L,NO,,30,125,NO
__export__.fal_stroke_max_VXP-025-L4-M4T,VXP-025-L4-M4T,NO,,30,125,NO
__export__.fal_stroke_max_VXP-025-L4-M5L,VXP-025-L4-M5L,NO,,30,125,NO
__export__.fal_stroke_max_VXP-025-L4-M5T,VXP-025-L4-M5T,NO,,30,125,NO
__export__.fal_stroke_max_VXP-032-DM-M4T,VXP-032-DM-M4T,0,49,50,140,NO
__export__.fal_stroke_max_VXP-032-DM-M5L,VXP-032-DM-M5L,0,49,50,140,NO
__export__.fal_stroke_max_VXP-032-DM-M5T,VXP-032-DM-M5T,0,49,50,140,NO
__export__.fal_stroke_max_VXP-032-IR-M4L,VXP-032-IR-M4L,NO,,5,140,NO
__export__.fal_stroke_max_VXP-032-IR-M4T,VXP-032-IR-M4T,NO,,5,140,NO
__export__.fal_stroke_max_VXP-032-IR-M5L,VXP-032-IR-M5L,NO,,5,140,NO
__export__.fal_stroke_max_VXP-032-IR-M5T,VXP-032-IR-M5T,NO,,5,140,NO
__export__.fal_stroke_max_VXP-032-L1-M4L,VXP-032-L1-M4L,NO,,5,140,NO
__export__.fal_stroke_max_VXP-032-L1-M4T,VXP-032-L1-M4T,NO,,5,140,NO
__export__.fal_stroke_max_VXP-032-L1-M5L,VXP-032-L1-M5L,NO,,5,140,NO
__export__.fal_stroke_max_VXP-032-L1-M5T,VXP-032-L1-M5T,NO,,5,140,NO
__export__.fal_stroke_max_VXP-032-L2-M4L,VXP-032-L2-M4L,NO,,50,140,NO
__export__.fal_stroke_max_VXP-032-L2-M4T,VXP-032-L2-M4T,NO,,50,140,NO
__export__.fal_stroke_max_VXP-032-L2-M5L,VXP-032-L2-M5L,NO,,50,140,NO
__export__.fal_stroke_max_VXP-032-L2-M5T,VXP-032-L2-M5T,NO,,50,140,NO
__export__.fal_stroke_max_VXP-032-L3-M4L,VXP-032-L3-M4L,NO,,30,140,NO
__export__.fal_stroke_max_VXP-032-L3-M4T,VXP-032-L3-M4T,NO,,30,140,NO
__export__.fal_stroke_max_VXP-032-L3-M5L,VXP-032-L3-M5L,NO,,30,140,NO
__export__.fal_stroke_max_VXP-032-L3-M5T,VXP-032-L3-M5T,NO,,30,140,NO
__export__.fal_stroke_max_VXP-032-L4-M4L,VXP-032-L4-M4L,NO,,30,140,NO
__export__.fal_stroke_max_VXP-032-L4-M4T,VXP-032-L4-M4T,NO,,30,140,NO
__export__.fal_stroke_max_VXP-032-L4-M5L,VXP-032-L4-M5L,NO,,30,140,NO
__export__.fal_stroke_max_VXP-032-L4-M5T,VXP-032-L4-M5T,NO,,30,140,NO
__export__.fal_stroke_max_VXP-040-DM-M4L,VXP-040-DM-M4L,0,49,50,140,NO
__export__.fal_stroke_max_VXP-040-DM-M4T,VXP-040-DM-M4T,0,49,50,140,NO
__export__.fal_stroke_max_VXP-040-DM-M5L,VXP-040-DM-M5L,0,49,50,140,NO
__export__.fal_stroke_max_VXP-040-DM-M5T,VXP-040-DM-M5T,0,49,50,140,NO
__export__.fal_stroke_max_VXP-040-IR-M4L,VXP-040-IR-M4L,NO,,5,140,NO
__export__.fal_stroke_max_VXP-040-IR-M4T,VXP-040-IR-M4T,NO,,5,140,NO
__export__.fal_stroke_max_VXP-040-IR-M5L,VXP-040-IR-M5L,NO,,5,140,NO
__export__.fal_stroke_max_VXP-040-IR-M5T,VXP-040-IR-M5T,NO,,5,140,NO
__export__.fal_stroke_max_VXP-040-L1-M4L,VXP-040-L1-M4L,NO,,5,140,NO
__export__.fal_stroke_max_VXP-040-L1-M4T,VXP-040-L1-M4T,NO,,5,140,NO
__export__.fal_stroke_max_VXP-040-L1-M5L,VXP-040-L1-M5L,NO,,5,140,NO
__export__.fal_stroke_max_VXP-040-L1-M5T,VXP-040-L1-M5T,NO,,5,140,NO
__export__.fal_stroke_max_VXP-040-L2-M4L,VXP-040-L2-M4L,NO,,50,140,NO
__export__.fal_stroke_max_VXP-040-L2-M4T,VXP-040-L2-M4T,NO,,50,140,NO
__export__.fal_stroke_max_VXP-040-L2-M5L,VXP-040-L2-M5L,NO,,50,140,NO
__export__.fal_stroke_max_VXP-040-L2-M5T,VXP-040-L2-M5T,NO,,50,140,NO
__export__.fal_stroke_max_VXP-040-L3-M4L,VXP-040-L3-M4L,NO,,30,140,NO
__export__.fal_stroke_max_VXP-040-L3-M4T,VXP-040-L3-M4T,NO,,30,140,NO
__export__.fal_stroke_max_VXP-040-L3-M5L,VXP-040-L3-M5L,NO,,30,140,NO
__export__.fal_stroke_max_VXP-040-L3-M5T,VXP-040-L3-M5T,NO,,30,140,NO
__export__.fal_stroke_max_VXP-040-L4-M4L,VXP-040-L4-M4L,NO,,30,140,NO
__export__.fal_stroke_max_VXP-040-L4-M4T,VXP-040-L4-M4T,NO,,30,140,NO
__export__.fal_stroke_max_VXP-040-L4-M5L,VXP-040-L4-M5L,NO,,30,140,NO
__export__.fal_stroke_max_VXP-040-L4-M5T,VXP-040-L4-M5T,NO,,30,140,NO
__export__.fal_stroke_max_VXP-050-DM-M4L,VXP-050-DM-M4L,0,49,50,150,NO
__export__.fal_stroke_max_VXP-050-DM-M4T,VXP-050-DM-M4T,0,49,50,150,NO
__export__.fal_stroke_max_VXP-050-DM-M5L,VXP-050-DM-M5L,0,49,50,150,NO
__export__.fal_stroke_max_VXP-050-DM-M5T,VXP-050-DM-M5T,0,49,50,150,NO
__export__.fal_stroke_max_VXP-050-IR-M4L,VXP-050-IR-M4L,NO,,10,150,NO
__export__.fal_stroke_max_VXP-050-IR-M4T,VXP-050-IR-M4T,NO,,10,150,NO
__export__.fal_stroke_max_VXP-050-IR-M5L,VXP-050-IR-M5L,NO,,10,150,NO
__export__.fal_stroke_max_VXP-050-IR-M5T,VXP-050-IR-M5T,NO,,10,150,NO
__export__.fal_stroke_max_VXP-050-L1-M4L,VXP-050-L1-M4L,NO,,10,150,NO
__export__.fal_stroke_max_VXP-050-L1-M4T,VXP-050-L1-M4T,NO,,10,150,NO
__export__.fal_stroke_max_VXP-050-L1-M5L,VXP-050-L1-M5L,NO,,10,150,NO
__export__.fal_stroke_max_VXP-050-L1-M5T,VXP-050-L1-M5T,NO,,10,150,NO
__export__.fal_stroke_max_VXP-050-L2-M4L,VXP-050-L2-M4L,NO,,50,150,NO
__export__.fal_stroke_max_VXP-050-L2-M4T,VXP-050-L2-M4T,NO,,50,150,NO
__export__.fal_stroke_max_VXP-050-L2-M5L,VXP-050-L2-M5L,NO,,50,150,NO
__export__.fal_stroke_max_VXP-050-L2-M5T,VXP-050-L2-M5T,NO,,50,150,NO
__export__.fal_stroke_max_VXP-050-L3-M4L,VXP-050-L3-M4L,NO,,30,150,NO
__export__.fal_stroke_max_VXP-050-L3-M4T,VXP-050-L3-M4T,NO,,30,150,NO
__export__.fal_stroke_max_VXP-050-L3-M5L,VXP-050-L3-M5L,NO,,30,150,NO
__export__.fal_stroke_max_VXP-050-L3-M5T,VXP-050-L3-M5T,NO,,30,150,NO
__export__.fal_stroke_max_VXP-050-L4-M4L,VXP-050-L4-M4L,NO,,30,150,NO
__export__.fal_stroke_max_VXP-050-L4-M4T,VXP-050-L4-M4T,NO,,30,150,NO
__export__.fal_stroke_max_VXP-050-L4-M5L,VXP-050-L4-M5L,NO,,30,150,NO
__export__.fal_stroke_max_VXP-050-L4-M5T,VXP-050-L4-M5T,NO,,30,150,NO
__export__.fal_stroke_max_VXP-063-DM-M4L,VXP-063-DM-M4L,0,49,50,190,NO
__export__.fal_stroke_max_VXP-063-DM-M4T,VXP-063-DM-M4T,0,49,50,190,NO
__export__.fal_stroke_max_VXP-063-DM-M5L,VXP-063-DM-M5L,0,49,50,190,NO
__export__.fal_stroke_max_VXP-063-DM-M5T,VXP-063-DM-M5T,0,49,50,190,NO
__export__.fal_stroke_max_VXP-063-IR-M4L,VXP-063-IR-M4L,NO,,10,190,NO
__export__.fal_stroke_max_VXP-063-IR-M4T,VXP-063-IR-M4T,NO,,10,190,NO
__export__.fal_stroke_max_VXP-063-IR-M5L,VXP-063-IR-M5L,NO,,10,190,NO
__export__.fal_stroke_max_VXP-063-IR-M5T,VXP-063-IR-M5T,NO,,10,190,NO
__export__.fal_stroke_max_VXP-063-L1-M4L,VXP-063-L1-M4L,NO,,10,190,NO
__export__.fal_stroke_max_VXP-063-L1-M4T,VXP-063-L1-M4T,NO,,10,190,NO
__export__.fal_stroke_max_VXP-063-L1-M5L,VXP-063-L1-M5L,NO,,10,190,NO
__export__.fal_stroke_max_VXP-063-L1-M5T,VXP-063-L1-M5T,NO,,10,190,NO
__export__.fal_stroke_max_VXP-063-L2-M4L,VXP-063-L2-M4L,NO,,60,190,NO
__export__.fal_stroke_max_VXP-063-L2-M4T,VXP-063-L2-M4T,NO,,60,190,NO
__export__.fal_stroke_max_VXP-063-L2-M5L,VXP-063-L2-M5L,NO,,60,190,NO
__export__.fal_stroke_max_VXP-063-L2-M5T,VXP-063-L2-M5T,NO,,60,190,NO
__export__.fal_stroke_max_VXP-063-L3-M4L,VXP-063-L3-M4L,NO,,50,190,NO
__export__.fal_stroke_max_VXP-063-L3-M4T,VXP-063-L3-M4T,NO,,50,190,NO
__export__.fal_stroke_max_VXP-063-L3-M5L,VXP-063-L3-M5L,NO,,50,190,NO
__export__.fal_stroke_max_VXP-063-L3-M5T,VXP-063-L3-M5T,NO,,50,190,NO
__export__.fal_stroke_max_VXP-063-L4-M4L,VXP-063-L4-M4L,NO,,50,190,NO
__export__.fal_stroke_max_VXP-063-L4-M4T,VXP-063-L4-M4T,NO,,50,190,NO
__export__.fal_stroke_max_VXP-063-L4-M5L,VXP-063-L4-M5L,NO,,50,190,NO
__export__.fal_stroke_max_VXP-063-L4-M5T,VXP-063-L4-M5T,NO,,50,190,NO
__export__.fal_stroke_max_VXP-080-DM-M4L,VXP-080-DM-M4L,0,49,50,180,NO
__export__.fal_stroke_max_VXP-080-DM-M4T,VXP-080-DM-M4T,0,49,50,180,NO
__export__.fal_stroke_max_VXP-080-DM-M5L,VXP-080-DM-M5L,0,49,50,180,NO
__export__.fal_stroke_max_VXP-080-DM-M5T,VXP-080-DM-M5T,0,49,50,180,NO
__export__.fal_stroke_max_VXP-080-IR-M4L,VXP-080-IR-M4L,NO,,10,180,NO
__export__.fal_stroke_max_VXP-080-IR-M4T,VXP-080-IR-M4T,NO,,10,180,NO
__export__.fal_stroke_max_VXP-080-IR-M5L,VXP-080-IR-M5L,NO,,10,180,NO
__export__.fal_stroke_max_VXP-080-IR-M5T,VXP-080-IR-M5T,NO,,10,180,NO
__export__.fal_stroke_max_VXP-080-L1-M4L,VXP-080-L1-M4L,NO,,10,180,NO
__export__.fal_stroke_max_VXP-080-L1-M4T,VXP-080-L1-M4T,NO,,10,180,NO
__export__.fal_stroke_max_VXP-080-L1-M5L,VXP-080-L1-M5L,NO,,10,180,NO
__export__.fal_stroke_max_VXP-080-L1-M5T,VXP-080-L1-M5T,NO,,10,180,NO
__export__.fal_stroke_max_VXP-080-L2-M4L,VXP-080-L2-M4L,NO,,70,180,NO
__export__.fal_stroke_max_VXP-080-L2-M4T,VXP-080-L2-M4T,NO,,70,180,NO
__export__.fal_stroke_max_VXP-080-L2-M5L,VXP-080-L2-M5L,NO,,70,180,NO
__export__.fal_stroke_max_VXP-080-L2-M5T,VXP-080-L2-M5T,NO,,70,180,NO
__export__.fal_stroke_max_VXP-080-L3-M4L,VXP-080-L3-M4L,NO,,50,180,NO
__export__.fal_stroke_max_VXP-080-L3-M4T,VXP-080-L3-M4T,NO,,50,180,NO
__export__.fal_stroke_max_VXP-080-L3-M5L,VXP-080-L3-M5L,NO,,50,180,NO
__export__.fal_stroke_max_VXP-080-L3-M5T,VXP-080-L3-M5T,NO,,50,180,NO
__export__.fal_stroke_max_VXP-080-L4-M4L,VXP-080-L4-M4L,NO,,50,180,NO
__export__.fal_stroke_max_VXP-080-L4-M4T,VXP-080-L4-M4T,NO,,50,180,NO
__export__.fal_stroke_max_VXP-080-L4-M5L,VXP-080-L4-M5L,NO,,50,180,NO
__export__.fal_stroke_max_VXP-080-L4-M5T,VXP-080-L4-M5T,NO,,50,180,NO
__export__.fal_stroke_max_VXP-100-IR-M4L,VXP-100-IR-M4L,NO,,10,160,NO
__export__.fal_stroke_max_VXP-100-IR-M4T,VXP-100-IR-M4T,NO,,10,160,NO
__export__.fal_stroke_max_VXP-100-IR-M5L,VXP-100-IR-M5L,NO,,10,160,NO
__export__.fal_stroke_max_VXP-100-IR-M5T,VXP-100-IR-M5T,NO,,10,160,NO
__export__.fal_stroke_max_VXP-100-L1-M4L,VXP-100-L1-M4L,NO,,10,160,NO
__export__.fal_stroke_max_VXP-100-L1-M4T,VXP-100-L1-M4T,NO,,10,160,NO
__export__.fal_stroke_max_VXP-100-L1-M5L,VXP-100-L1-M5L,NO,,10,160,NO
__export__.fal_stroke_max_VXP-100-L1-M5T,VXP-100-L1-M5T,NO,,10,160,NO
__export__.fal_stroke_max_VXP-100-L2-M4L,VXP-100-L2-M4L,NO,,70,160,NO
__export__.fal_stroke_max_VXP-100-L2-M4T,VXP-100-L2-M4T,NO,,70,160,NO
__export__.fal_stroke_max_VXP-100-L2-M5L,VXP-100-L2-M5L,NO,,70,160,NO
__export__.fal_stroke_max_VXP-100-L2-M5T,VXP-100-L2-M5T,NO,,70,160,NO
__export__.fal_stroke_max_VXP-100-L3-M4L,VXP-100-L3-M4L,NO,,50,160,NO
__export__.fal_stroke_max_VXP-100-L3-M4T,VXP-100-L3-M4T,NO,,50,160,NO
__export__.fal_stroke_max_VXP-100-L3-M5L,VXP-100-L3-M5L,NO,,50,160,NO
__export__.fal_stroke_max_VXP-100-L3-M5T,VXP-100-L3-M5T,NO,,50,160,NO
